K,LR,LAMBDA,FOLD,RMSE
5,0.01,0.01,u1,0.9980357
5,0.01,0.01,u2,0.9844051
5,0.01,0.01,u3,0.9807655
5,0.01,0.02,u1,0.9980357
5,0.01,0.02,u2,0.9844051
5,0.01,0.02,u3,0.9807655
5,0.01,0.05,u1,0.9980357
5,0.01,0.05,u2,0.9844051
5,0.01,0.05,u3,0.9807655
5,0.005,0.01,u1,0.9980357
5,0.005,0.01,u2,0.9844051
5,0.005,0.01,u3,0.9807655
5,0.005,0.02,u1,0.9980357
5,0.005,0.02,u2,0.9844051
5,0.005,0.02,u3,0.9807655
5,0.005,0.05,u1,0.9980357
5,0.005,0.05,u2,0.9844051
5,0.005,0.05,u3,0.9807655
5,0.001,0.01,u1,0.9980357
5,0.001,0.01,u2,0.9844051
5,0.001,0.01,u3,0.9807655
5,0.001,0.02,u1,0.9980357
5,0.001,0.02,u2,0.9844051
5,0.001,0.02,u3,0.9807655
5,0.001,0.05,u1,0.9980357
5,0.001,0.05,u2,0.9844051
5,0.001,0.05,u3,0.9807655
10,0.01,0.01,u1,0.9980357
10,0.01,0.01,u2,0.9844051
10,0.01,0.01,u3,0.9807655
10,0.01,0.02,u1,0.9980357
10,0.01,0.02,u2,0.9844051
10,0.01,0.02,u3,0.9807655
10,0.01,0.05,u1,0.9980357
10,0.01,0.05,u2,0.9844051
10,0.01,0.05,u3,0.9807655
10,0.005,0.01,u1,0.9980357
10,0.005,0.01,u2,0.9844051
10,0.005,0.01,u3,0.9807655
10,0.005,0.02,u1,0.9980357
10,0.005,0.02,u2,0.9844051
10,0.005,0.02,u3,0.9807655
10,0.005,0.05,u1,0.9980357
10,0.005,0.05,u2,0.9844051
10,0.005,0.05,u3,0.9807655
10,0.001,0.01,u1,0.9980357
10,0.001,0.01,u2,0.9844051
10,0.001,0.01,u3,0.9807655
10,0.001,0.02,u1,0.9980357
10,0.001,0.02,u2,0.9844051
10,0.001,0.02,u3,0.9807655
10,0.001,0.05,u1,0.9980357
10,0.001,0.05,u2,0.9844051
10,0.001,0.05,u3,0.9807655
20,0.01,0.01,u1,0.9980357
20,0.01,0.01,u2,0.9844051
20,0.01,0.01,u3,0.9807655
20,0.01,0.02,u1,0.9980357
20,0.01,0.02,u2,0.9844051
20,0.01,0.02,u3,0.9807655
20,0.01,0.05,u1,0.9980357
20,0.01,0.05,u2,0.9844051
20,0.01,0.05,u3,0.9807655
20,0.005,0.01,u1,0.9980357
20,0.005,0.01,u2,0.9844051
20,0.005,0.01,u3,0.9807655
20,0.005,0.02,u1,0.9980357
20,0.005,0.02,u2,0.9844051
20,0.005,0.02,u3,0.9807655
20,0.005,0.05,u1,0.9980357
20,0.005,0.05,u2,0.9844051
20,0.005,0.05,u3,0.9807655
20,0.001,0.01,u1,0.9980357
20,0.001,0.01,u2,0.9844051
20,0.001,0.01,u3,0.9807655
20,0.001,0.02,u1,0.9980357
20,0.001,0.02,u2,0.9844051
20,0.001,0.02,u3,0.9807655
20,0.001,0.05,u1,0.9980357
20,0.001,0.05,u2,0.9844051
20,0.001,0.05,u3,0.9807655
